id,archetype_id,archetype,context,platform,hook_first3s_pattern,hook_example_in_context,structure,length_sec,cuts_in_first6s,color_tone,caption_style,tempo,sound,product_first_seen_sec,closing_type,why_it_works,chenme_fit_1to5,yakkiho_risk,basis,data_type
AD001,A01,結果先出し（After-first）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,結果の画（ツヤ肌/満足の表情）を0.0秒で出し『どうやったか』に巻き戻す,『3日でこれ』の肌アップ→巻き戻し,結果→巻き戻し→手順→再び結果,12-18,3-4,明るめ・低コントラスト・肌色優先,結果を1語（『これ』『◯日目』）,速→中,トレンド音源（歌なし）+小声VO,0-1,プロフィール/保存誘導,離脱前に報酬を見せる。CTR上位20%の共通項,5,低,評価レポート（Evolut等）：上位20%は2秒以内に結果提示,型（公開レポート再構成）
AD002,A01,結果先出し（After-first）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,結果の画（ツヤ肌/満足の表情）を0.0秒で出し『どうやったか』に巻き戻す,『今日8時間立ってた人』のテロップ+足元,結果→巻き戻し→手順→再び結果,12-18,3-4,明るめ・低コントラスト・肌色優先,結果を1語（『これ』『◯日目』）,速→中,トレンド音源（歌なし）+小声VO,0-1,プロフィール/保存誘導,離脱前に報酬を見せる。CTR上位20%の共通項,5,低,評価レポート（Evolut等）：上位20%は2秒以内に結果提示,型（公開レポート再構成）
AD003,A01,結果先出し（After-first）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,結果の画（ツヤ肌/満足の表情）を0.0秒で出し『どうやったか』に巻き戻す,クッションのパフ音→頬に1回,結果→巻き戻し→手順→再び結果,12-18,3-4,明るめ・低コントラスト・肌色優先,結果を1語（『これ』『◯日目』）,速→中,トレンド音源（歌なし）+小声VO,0-1,プロフィール/保存誘導,離脱前に報酬を見せる。CTR上位20%の共通項,5,低,評価レポート（Evolut等）：上位20%は2秒以内に結果提示,型（公開レポート再構成）
AD004,A01,結果先出し（After-first）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,結果の画（ツヤ肌/満足の表情）を0.0秒で出し『どうやったか』に巻き戻す,ランプを点ける手→『おつかれ』,結果→巻き戻し→手順→再び結果,12-18,3-4,明るめ・低コントラスト・肌色優先,結果を1語（『これ』『◯日目』）,速→中,トレンド音源（歌なし）+小声VO,0-1,プロフィール/保存誘導,離脱前に報酬を見せる。CTR上位20%の共通項,5,低,評価レポート（Evolut等）：上位20%は2秒以内に結果提示,型（公開レポート再構成）
AD005,A01,結果先出し（After-first）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,結果の画（ツヤ肌/満足の表情）を0.0秒で出し『どうやったか』に巻き戻す,湯気/バブルの音→肩の力が抜ける,結果→巻き戻し→手順→再び結果,12-18,3-4,明るめ・低コントラスト・肌色優先,結果を1語（『これ』『◯日目』）,速→中,トレンド音源（歌なし）+小声VO,0-1,プロフィール/保存誘導,離脱前に報酬を見せる。CTR上位20%の共通項,5,低,評価レポート（Evolut等）：上位20%は2秒以内に結果提示,型（公開レポート再構成）
AD006,A02,POVフック（主観視点）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,手・脚・足元の主観カットで『自分ごと化』。顔を出さない,『3日でこれ』の肌アップ→巻き戻し,POV状況→行動→安心→締め,10-15,2-3,暖色・部屋の灯り,内心のつぶやき体（『やっと帯いた』）,中,環境音+ASMR,3-5,一言の英語,視聴者が『私』になれる。顔出し不要で量産可,5,低,UGC優位36.8%（SociaVault）＋GRWM/ASMR型の定着,型（公開レポート再構成）
AD007,A02,POVフック（主観視点）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,手・脚・足元の主観カットで『自分ごと化』。顔を出さない,『今日8時間立ってた人』のテロップ+足元,POV状況→行動→安心→締め,10-15,2-3,暖色・部屋の灯り,内心のつぶやき体（『やっと帯いた』）,中,環境音+ASMR,3-5,一言の英語,視聴者が『私』になれる。顔出し不要で量産可,5,低,UGC優位36.8%（SociaVault）＋GRWM/ASMR型の定着,型（公開レポート再構成）
AD008,A02,POVフック（主観視点）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,手・脚・足元の主観カットで『自分ごと化』。顔を出さない,クッションのパフ音→頬に1回,POV状況→行動→安心→締め,10-15,2-3,暖色・部屋の灯り,内心のつぶやき体（『やっと帯いた』）,中,環境音+ASMR,3-5,一言の英語,視聴者が『私』になれる。顔出し不要で量産可,5,低,UGC優位36.8%（SociaVault）＋GRWM/ASMR型の定着,型（公開レポート再構成）
AD009,A02,POVフック（主観視点）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,手・脚・足元の主観カットで『自分ごと化』。顔を出さない,ランプを点ける手→『おつかれ』,POV状況→行動→安心→締め,10-15,2-3,暖色・部屋の灯り,内心のつぶやき体（『やっと帯いた』）,中,環境音+ASMR,3-5,一言の英語,視聴者が『私』になれる。顔出し不要で量産可,5,低,UGC優位36.8%（SociaVault）＋GRWM/ASMR型の定着,型（公開レポート再構成）
AD010,A02,POVフック（主観視点）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,手・脚・足元の主観カットで『自分ごと化』。顔を出さない,湯気/バブルの音→肩の力が抜ける,POV状況→行動→安心→締め,10-15,2-3,暖色・部屋の灯り,内心のつぶやき体（『やっと帯いた』）,中,環境音+ASMR,3-5,一言の英語,視聴者が『私』になれる。顔出し不要で量産可,5,低,UGC優位36.8%（SociaVault）＋GRWM/ASMR型の定着,型（公開レポート再構成）
AD011,A03,ナイトルーティン ASMR,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,ポンプ音/蓋を開ける音を無音背景で。画は手元マクロ,『3日でこれ』の肌アップ→巻き戻し,音→テクスチャ→塗布→灯りを落とす,15-30,2,暖色低照度・浅い被写界深度,極少（1〜2枚）,遅,実録SE中心、BGM極小,1-2,無言→ロゴ/英語1行,保存・リピート視聴が伸びる。アルゴリズムが保存を重視（2026）,5,低,GRWM/ASMR 30-45秒がK-beautyで最強フォーマット（Draper他）,型（公開レポート再構成）
AD012,A03,ナイトルーティン ASMR,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,ポンプ音/蓋を開ける音を無音背景で。画は手元マクロ,『今日8時間立ってた人』のテロップ+足元,音→テクスチャ→塗布→灯りを落とす,15-30,2,暖色低照度・浅い被写界深度,極少（1〜2枚）,遅,実録SE中心、BGM極小,1-2,無言→ロゴ/英語1行,保存・リピート視聴が伸びる。アルゴリズムが保存を重視（2026）,5,低,GRWM/ASMR 30-45秒がK-beautyで最強フォーマット（Draper他）,型（公開レポート再構成）
AD013,A03,ナイトルーティン ASMR,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,ポンプ音/蓋を開ける音を無音背景で。画は手元マクロ,クッションのパフ音→頬に1回,音→テクスチャ→塗布→灯りを落とす,15-30,2,暖色低照度・浅い被写界深度,極少（1〜2枚）,遅,実録SE中心、BGM極小,1-2,無言→ロゴ/英語1行,保存・リピート視聴が伸びる。アルゴリズムが保存を重視（2026）,5,低,GRWM/ASMR 30-45秒がK-beautyで最強フォーマット（Draper他）,型（公開レポート再構成）
